,Repeat,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
10,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,10,0,-1,-5,0.0020008087158203125,[0],0,0
11,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,11,6,-1,-6,0.012083292007446289,"[1, 0, 2, 2, 1, 1, 0]",0,0
12,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,12,7,-1,-7,0.013041019439697266,"[0, 2, 0, 0, 2, 1, 1, 0]",0,0
13,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,13,14,1,-6,0.02413630485534668,"[1, 0, 0, 1, 1, 0, 2, 3, 0, 1, 0, 2, 1, 1, 1]",0,0
14,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,14,1,-1,-7,0.004000425338745117,"[2, 2]",0,0
15,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,15,28,2,-5,0.048262596130371094,"[0, 2, 0, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 3, 3, 2, 1, 0, 2, 2, 0, 2, 0, 0, 1, 1, 2, 1]",0,0
16,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,16,25,2,-3,0.045247793197631836,"[2, 0, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 2, 2, 0, 0, 2, 1, 2, 1, 1, 1]",0,0
17,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,17,1,-1,-4,0.0030629634857177734,"[1, 0]",0,0
18,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,18,0,-1,-5,0.002000570297241211,[0],0,0
19,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,19,14,1,-4,0.027069091796875,"[1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 0, 1, 2, 2, 1]",0,0
20,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,20,3,-1,-5,0.007030487060546875,"[0, 0, 2, 1]",0,0
21,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,21,0,-1,-6,0.0020003318786621094,[2],0,0
22,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,22,4,-1,-7,0.010054588317871094,"[1, 3, 1, 1, 3]",0,0
23,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,23,1,-1,-8,0.00503849983215332,"[1, 1]",0,0
24,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,24,0,-1,-9,0.0020029544830322266,[3],0,0
25,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,25,0,-1,-10,0.0020012855529785156,[3],0,0
26,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,26,18,2,-8,0.03422355651855469,"[3, 3, 3, 1, 3, 2, 1, 2, 3, 2, 0, 3, 2, 1, 0, 0, 1, 1, 1]",0,0
27,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,27,13,2,-6,0.02306079864501953,"[1, 0, 2, 3, 1, 0, 2, 0, 2, 1, 2, 1, 1, 1]",0,0
28,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,28,41,2,-4,0.07036089897155762,"[0, 3, 0, 2, 1, 2, 3, 3, 1, 0, 2, 2, 0, 3, 0, 3, 3, 2, 2, 1, 0, 0, 1, 0, 0, 0, 2, 2, 0, 1, 2, 2, 3, 2, 0, 2, 3, 0, 0, 0, 1, 1]",0,0
29,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,29,9,-1,-5,0.017090797424316406,"[3, 0, 3, 3, 3, 3, 3, 0, 3, 0]",0,0
30,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,30,0,-1,-6,0.002000093460083008,[0],0,0
31,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,31,89,2,-4,0.17303895950317383,"[0, 0, 0, 2, 1, 3, 0, 0, 0, 2, 0, 0, 1, 1, 0, 3, 3, 0, 2, 2, 1, 2, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 2, 2, 3, 2, 0, 2, 3, 2, 2, 2, 2, 3, 0, 3, 2, 0, 2, 2, 3, 0, 2, 2, 3, 2, 3, 2, 3, 0, 3, 0, 2, 0, 2, 2, 2, 1, 2, 1, 2, 3, 0, 1, 3, 1, 3, 0, 0, 2, 2, 3, 2, 3, 2, 0, 1, 3, 1]",0,0
32,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,32,6,-1,-5,0.012111663818359375,"[0, 3, 0, 0, 1, 0, 0]",0,0
33,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,33,99,1,-4,0.17476344108581543,"[0, 0, 0, 0, 2, 2, 2, 2, 3, 3, 1, 2, 1, 1, 0, 3, 0, 3, 2, 3, 3, 3, 2, 2, 0, 2, 2, 3, 2, 2, 2, 2, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 3, 1, 0, 2, 0, 2, 1, 0, 0, 2, 2, 0, 0, 3, 3, 0, 2, 3, 2, 2, 0, 2, 2, 3, 0, 0, 0, 0, 0, 0, 3, 1, 1, 2, 2, 3, 1, 2, 2, 3, 2, 3, 0, 2, 3, 2, 2, 3, 1, 1, 0, 0, 0, 0, 2, 3]",0,0
34,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,34,1,-1,-5,0.003999948501586914,"[1, 0]",0,0
35,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,35,0,-1,-6,0.002044677734375,[2],0,0
36,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,36,0,-1,-7,0.0019998550415039062,[2],0,0
37,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,37,25,2,-5,0.04523158073425293,"[1, 0, 0, 2, 1, 2, 1, 2, 3, 2, 0, 2, 1, 3, 1, 0, 3, 3, 3, 0, 0, 0, 1, 1, 1, 1]",0,0
38,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,38,15,1,-4,0.02913832664489746,"[0, 0, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 3, 1, 1]",0,0
39,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,39,99,1,-3,0.17406868934631348,"[1, 1, 1, 3, 0, 3, 2, 0, 3, 0, 0, 0, 0, 0, 0, 2, 2, 1, 2, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 0, 3, 0, 3, 2, 1, 1, 1, 1, 3, 2, 0, 3, 2, 3, 2, 2, 1, 0, 0, 0, 0, 3, 2, 3, 2, 0, 2, 3, 2, 2, 2, 0, 3, 2, 1, 1, 0, 0, 2, 2, 3, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 1, 3, 1, 0, 0, 2, 0, 2, 2, 0, 0, 0]",0,0
40,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,40,99,1,-2,0.1868271827697754,"[0, 0, 0, 0, 2, 2, 3, 2, 2, 2, 3, 2, 2, 3, 0, 3, 2, 2, 2, 2, 0, 2, 3, 2, 0, 3, 2, 3, 2, 3, 2, 2, 0, 2, 3, 0, 0, 0, 0, 2, 0, 1, 0, 2, 2, 3, 1, 2, 0, 0, 1, 3, 1, 2, 2, 1, 0, 0, 3, 3, 1, 1, 2, 3, 2, 0, 1, 2, 2, 2, 1, 0, 3, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 2, 0, 1, 3, 0, 2, 3, 1, 2, 3, 2, 3, 2, 2, 3]",0,0
41,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,41,2,-1,-3,0.007040262222290039,"[3, 0, 0]",0,0
42,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,42,99,1,-2,0.1758580207824707,"[0, 0, 0, 0, 0, 2, 2, 0, 3, 2, 3, 2, 3, 3, 2, 3, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 3, 0, 0, 0, 2, 3, 2, 3, 3, 3, 2, 2, 3, 2, 2, 2, 0, 0, 0, 0, 0, 0, 3, 0, 3, 1, 2, 1, 3, 2, 0, 2, 1, 0, 0, 3, 0, 0, 0, 0, 2, 2, 2, 3, 3, 2, 2, 0, 0, 0, 0, 0, 2, 3, 2, 3, 2, 2, 3, 2, 2, 0, 0, 0, 0, 0, 0, 2, 2, 3, 2]",0,0
43,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,43,9,1,-1,0.0171053409576416,"[0, 0, 2, 2, 2, 0, 0, 2, 1, 1]",0,0
44,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,44,2,-1,-2,0.007001161575317383,"[0, 0, 1]",0,0
45,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,45,14,2,0,0.031205177307128906,"[0, 0, 0, 0, 3, 0, 2, 3, 2, 2, 1, 3, 1, 1, 1]",0,0
46,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,46,2,-1,-1,0.00506138801574707,"[2, 0, 1]",0,0
47,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,47,99,1,0,0.18195486068725586,"[0, 1, 3, 3, 0, 3, 2, 2, 2, 2, 0, 0, 0, 0, 3, 2, 2, 3, 3, 2, 0, 2, 1, 2, 2, 3, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 2, 3, 2, 2, 2, 0, 2, 2, 3, 2, 3, 3, 3, 0, 3, 2, 3, 1, 2, 2, 3, 2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 1, 2, 3, 1, 0, 0, 2, 2, 2, 2, 3, 0, 3, 3, 0, 3, 3, 0, 2, 0, 2, 2, 2, 2, 2, 3, 2, 2, 2, 1, 3]",0,0
48,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,48,99,1,1,0.17520809173583984,"[1, 0, 0, 0, 3, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 3, 2, 3, 2, 2, 2, 3, 3, 2, 1, 1, 1, 2, 2, 3, 0, 0, 0, 0, 2, 2, 2, 2, 2, 1, 0, 3, 2, 2, 3, 3, 2, 1, 0, 0, 0, 0, 2, 2, 3, 1, 2, 1, 3, 2, 1, 2, 1, 2, 2, 0, 2, 2, 3, 2, 2, 0, 3, 2, 1, 2, 0, 3, 0, 3, 0, 2, 0, 2, 3, 3, 2, 2, 2, 2, 3, 2, 2, 2, 0, 2, 2, 3, 2, 3]",0,0
49,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,49,7,-1,0,0.013042211532592773,"[1, 1, 0, 1, 0, 1, 3, 1]",0,0
50,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,50,18,2,2,0.031085491180419922,"[0, 1, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 2, 2, 2, 2, 1, 1, 1]",0,0
51,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,51,70,2,4,0.12478327751159668,"[1, 0, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 3, 2, 2, 0, 3, 2, 3, 0, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 0, 3, 3, 3, 3, 0, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 3, 0, 0, 2, 2, 2, 0, 2, 2, 3, 2, 2, 2, 2, 1, 0, 3, 1, 1]",0,0
52,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,52,99,1,5,0.17590761184692383,"[1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 3, 3, 0, 3, 3, 3, 3, 0, 3, 0, 0, 0, 2, 2, 2, 1, 0, 2, 2, 3, 2, 3, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 2, 3, 2, 3, 3, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 0, 2, 2, 0, 0, 0, 0, 0, 3, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 0, 0, 2, 2, 2, 2, 3, 2, 3, 0, 0, 0, 3, 3, 3, 3]",0,0
53,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,53,0,-1,4,0.0020012855529785156,[1],0,0
54,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,54,2,-1,3,0.0050678253173828125,"[1, 1, 1]",0,0
55,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,55,99,1,4,0.17323970794677734,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 2, 2, 2, 3, 2, 2, 3, 2, 1, 0, 2, 3, 2, 3, 2, 3, 3, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 1, 3, 3, 3, 0, 3, 0, 3, 2, 2, 2, 2, 2, 3, 0, 0, 3, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 3, 0, 0, 0, 0, 0, 1, 1, 0, 2, 2, 2, 3, 2, 3, 0, 0, 0, 0, 1, 0, 0, 0, 3, 3, 1, 1, 1, 2, 3, 2, 2, 0, 0, 0]",0,0
56,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,56,99,1,5,0.17814302444458008,"[0, 0, 0, 3, 3, 2, 2, 1, 1, 0, 3, 0, 3, 1, 1, 1, 1, 3, 0, 0, 1, 2, 0, 2, 2, 2, 2, 1, 0, 3, 2, 2, 2, 2, 2, 2, 3, 2, 1, 3, 3, 3, 3, 3, 3, 3, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 3, 1, 3, 1, 2, 3, 0, 0, 1, 1, 0, 2, 2, 2, 3, 2, 3, 1, 1, 0, 1, 0, 0, 0, 3, 2, 3, 2, 3, 2, 3, 2, 0, 2, 0, 0, 0, 0, 0, 2, 2, 2, 2, 3]",0,0
57,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,57,6,-1,4,0.012052297592163086,"[1, 3, 1, 1, 1, 1, 0]",0,0
58,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,58,87,2,6,0.15292119979858398,"[0, 0, 0, 1, 3, 1, 2, 0, 0, 3, 3, 3, 3, 3, 2, 2, 1, 0, 1, 0, 1, 0, 0, 1, 0, 3, 2, 0, 1, 1, 0, 2, 0, 0, 0, 3, 2, 3, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 2, 3, 2, 3, 0, 3, 3, 0, 0, 3, 1, 1, 2, 2, 2, 2, 2, 2, 2, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",0,0
59,1,"DQN_LLM_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,59,0,-1,5,0.001001119613647461,[0],0,0
